Drug Name,Company,Active Ingredient,Indication,Dosage and Administration,Side Effects,Use in pregnancy,,
Healthstop,Healthcare ,Loperamide Hydrochloride,Control of acute diarrhea,"Adults: 2 mg after first stool, then 1 mg after each stool (max 8 mg/day)",,,,Not recommended
Healthzoral,Healthcare Pharmaceuticals Ltd,Zinc sulfate + Electrolytes,Oral rehydration with zinc supplementation,"1 sachet dissolved in 200 ml water, 2-3 times daily",,,,Safe
Healthtect,Healthcare Pharmaceuticals Ltd,Racecadotril,Acute diarrhea treatment,100 mg three times daily after meals,,,,Use with caution
Healthset,Healthcare Pharmaceuticals Ltd,"Sodium chloride, Potassium chloride, Glucose",Oral rehydration in diarrhea and vomiting,"1 sachet dissolved in water, repeat as necessary",,,,Safe
Healthvite,Healthcare Pharmaceuticals Ltd,Electrolytes + Glucose,Management of dehydration due to diarrhea,"1 sachet dissolved in 200 ml water, repeat as needed",,,,Safe
Healthplus,Healthcare Pharmaceuticals Ltd,Electrolytes + Zinc,Oral rehydration and zinc supplementation,"1 sachet dissolved in 200 ml water, 2-3 times daily",,,,Safe
Genoral,General ,"Sodium chloride, Potassium chloride, Sodium bicarbonate, Glucose",Oral rehydration in diarrhea-induced dehydration,"1 sachet dissolved in 200 ml water, repeated as needed",,,,Safe
Genzinc,General ,Zinc sulfate,Adjunct therapy to reduce duration of diarrhea,Adults: 20 mg daily; Children: 10-20 mg daily for 10-14 days,,,,Safe and recommended
Gendryl,General ,Racecadotril,Symptomatic treatment of acute diarrhea,Adults: 100 mg TID after meals,,,,Use if benefits outweigh risks
Genrehyd,General ,Electrolytes + Glucose,Rehydration therapy for diarrhea and dehydration,"1 sachet dissolved in 200 ml water, repeat as needed",,,,Safe
Genstop,General ,Loperamide Hydrochloride,Control of acute diarrhea,"Adults: 2 mg after first stool, then 1 mg after each stool (max 8 mg/day)",,,,Not recommended
Genzoral Plus,General ,Zinc sulfate + Electrolytes,Oral rehydration with zinc supplementation,"1 sachet dissolved in 200 ml water, 2-3 times daily",,,,Safe
Gentect,General ,Racecadotril,Acute diarrhea treatment,100 mg three times daily after meals,,,,Use with caution
Genset,General ,"Sodium chloride, Potassium chloride, Glucose",Oral rehydration in diarrhea and vomiting,"1 sachet dissolved in water, repeat as necessary",,,,Safe
Genvite,General ,Electrolytes + Glucose,Management of dehydration due to diarrhea,"1 sachet dissolved in 200 ml water, repeat as needed",,,,Safe
Genoral Zinc,General ,Electrolytes + Zinc,Oral rehydration and zinc supplementation,"1 sachet dissolved in 200 ml water, 2-3 times daily",,,,Safe
Sinoral,IBN SINA ,"Sodium chloride, Potassium chloride, Sodium bicarbonate, Glucose",Oral rehydration in diarrhea-induced dehydration,"1 sachet dissolved in 200 ml water, repeated as needed",,,,Safe
Sinazinc,IBN SINA ,Zinc sulfate,Adjunct therapy to reduce duration of diarrhea,Adults: 20 mg daily; Children: 10-20 mg daily for 10-14 days,,,,Safe and recommended
Sindryl,IBN SINA ,Racecadotril,Symptomatic treatment of acute diarrhea,Adults: 100 mg TID after meals,,,,Use if benefits outweigh risks
Sinrehyd,IBN SINA ,Electrolytes + Glucose,Rehydration therapy for diarrhea and dehydration,"1 sachet dissolved in 200 ml water, repeat as needed",,,,Safe
Sinstop,IBN SINA ,Loperamide Hydrochloride,Control of acute diarrhea,"Adults: 2 mg after first stool, then 1 mg after each stool (max 8 mg/day)",,,,Not recommended
Sinzoral Plus,IBN SINA ,Zinc sulfate + Electrolytes,Oral rehydration with zinc supplementation,"1 sachet dissolved in 200 ml water, 2-3 times daily",,,,Safe
Sintact,IBN SINA ,Racecadotril,Acute diarrhea treatment,100 mg three times daily after meals,,,,Use with caution
Sinset,IBN SINA ,"Sodium chloride, Potassium chloride, Glucose",Oral rehydration in diarrhea and vomiting,"1 sachet dissolved in water, repeat as necessary",,,,Safe
Sinvite,IBN SINA ,Electrolytes + Glucose,Management of dehydration due to diarrhea,"1 sachet dissolved in 200 ml water, repeat as needed",,,,Safe
Sinoral Zinc,IBN SINA ,Electrolytes + Zinc,Oral rehydration and zinc supplementation,"1 sachet dissolved in 200 ml water, 2-3 times daily",,,,Safe
Orisol,Orion ,"Sodium chloride, Potassium chloride, Sodium bicarbonate, Glucose",Oral rehydration therapy for dehydration due to diarrhea,Dissolve 1 sachet in 200 ml water; administer as needed,,,,Safe
Orizinc,Orion ,Zinc sulfate,Adjunct therapy to reduce duration of diarrhea,Adults: 20 mg daily; Children: 10-20 mg daily for 10-14 days,,,,Safe and recommended
Oridryl,Orion ,Racecadotril,Symptomatic treatment of acute diarrhea,Adults: 100 mg TID after meals,,,,Use if benefits outweigh risks
Orirehyd,Orion ,Electrolytes + Glucose,Rehydration therapy for diarrhea-induced dehydration,"1 sachet dissolved in 200 ml water, repeat as necessary",,,,Safe
Oristop,Orion ,Loperamide Hydrochloride,Control of acute diarrhea,"Adults: 2 mg after first stool, then 1 mg after each stool (max 8 mg/day)",,,,Not recommended
Orizoral Plus,Orion ,Zinc sulfate + Electrolytes,Oral rehydration with zinc supplementation,"1 sachet dissolved in 200 ml water, 2-3 times daily",,,,Safe
Orivate,Orion ,Racecadotril,Acute diarrhea treatment,100 mg three times daily after meals,,,,Use with caution
Oriset,Orion ,"Sodium chloride, Potassium chloride, Glucose",Oral rehydration in diarrhea and vomiting,"1 sachet dissolved in water, repeat as necessary",,,,Safe
Orivite,Orion ,Electrolytes + Glucose,Management of dehydration due to diarrhea,"1 sachet dissolved in 200 ml water, repeat as necessary",,,,Safe
Orizoral Zinc,Orion ,Electrolytes + Zinc,Oral rehydration and zinc supplementation,"1 sachet dissolved in 200 ml water, 2-3 times daily",,,,Safe
Amdocal,Square ,Amlodipine,"Hypertension, angina",5–10 mg once daily,,,,Use only if clearly needed
Amdocal Plus,Square ,Amlodipine + Atenolol,Hypertension,1 tablet once daily,,,,Avoid; may cause fetal harm
Cilacar,Square ,Cilnidipine,Hypertension,5–10 mg once daily,,,,Use with caution
Nebanol,Square ,Nebivolol,"Hypertension, heart failure",5–10 mg once daily,,,,Avoid in pregnancy
Carvas,Square ,Carvedilol,"Heart failure, hypertension",6.25–25 mg twice daily,,,,Contraindicated
Losartil,Square ,Losartan Potassium,"Hypertension, heart failure",50–100 mg daily,,,,Not recommended
Losartil Plus,Square ,Losartan + Hydrochlorothiazide,Hypertension,1 tablet daily,,,,Avoid during pregnancy
Cozart,Square ,Candesartan,"Hypertension, heart failure",8–32 mg once daily,,,,Contraindicated
Irbecard,Square ,Irbesartan,Hypertension,150–300 mg once daily,,,,Avoid during pregnancy
Telmax,Square ,Telmisartan,Hypertension,20–80 mg once daily,,,,Do not use in pregnancy
Bisloc,Square ,Bisoprolol,"Hypertension, heart disease",5–10 mg once daily,,,,Avoid unless essential
Concor,Square ,Bisoprolol Fumarate,"Hypertension, angina",2.5–10 mg once daily,,,,Caution; avoid in late pregnancy
Ramipres,Square ,Ramipril,"Hypertension, heart failure",2.5–10 mg/day in 1–2 doses,,,,Contraindicated
Tazilok,Square ,Trimetazidine,Angina pectoris,35 mg twice daily,,,,Not recommended
Clopivas,Square ,Clopidogrel,"Myocardial infarction, stroke prevention",75 mg once daily,,,,Avoid unless necessary
Amlosafe,Beximco ,Amlodipine,"Hypertension, angina",5–10 mg once daily,,,,Use only if clearly needed
Amlosafe Plus,Beximco ,Amlodipine + Atenolol,Hypertension,One tablet daily,,,,Avoid in pregnancy
Bextor,Beximco ,Bisoprolol,"Hypertension, heart failure",5–10 mg once daily,,,,Avoid unless essential
Cardopril,Beximco ,Captopril,"Hypertension, heart failure",25–150 mg/day in 2–3 doses,,,,Contraindicated
Dilata,Beximco ,Diltiazem,"Angina, hypertension",120–360 mg/day in divided doses,,,,Use with caution
Lisinopril,Beximco ,Lisinopril,"Hypertension, heart failure",10–40 mg once daily,,,,Not recommended
Losanorm,Beximco ,Losartan Potassium,Hypertension,50–100 mg once daily,,,,Avoid during pregnancy
Losanorm Plus,Beximco ,Losartan + Hydrochlorothiazide,Hypertension,One tablet daily,,,,Not safe
Metoprolol,Beximco ,Metoprolol Tartrate,"Hypertension, angina",50–100 mg twice daily,,,,Use with caution
Nebipres,Beximco ,Nebivolol,Hypertension,5–10 mg once daily,,,,Avoid in pregnancy
Ramilon,Beximco ,Ramipril,"Hypertension, heart failure",2.5–10 mg once or twice daily,,,,Contraindicated
Telmisafe,Beximco ,Telmisartan,Hypertension,20–80 mg once daily,,,,Do not use during pregnancy
Telmisafe H,Beximco ,Telmisartan + Hydrochlorothiazide,Hypertension,One tablet daily,,,,Avoid during pregnancy
Trivas,Beximco ,Trimetazidine,Angina pectoris,35 mg twice daily,,,,Not recommended
Clopivas,Beximco ,Clopidogrel,"MI, stroke prevention",75 mg once daily,,,,Use only if necessary
Amlosart,Incepta ,Amlodipine + Losartan,Hypertension,1 tablet once daily,,,,Use if benefits outweigh risks
Angilock,Incepta ,Telmisartan,Hypertension,20–80 mg once daily,,,,Avoid during pregnancy
Angilock Plus,Incepta ,Telmisartan + Hydrochlorothiazide,Hypertension,1 tablet daily,,,,Contraindicated
Bisorel,Incepta ,Bisoprolol,"Hypertension, angina",5–10 mg once daily,,,,Avoid unless essential
Cardivas,Incepta ,Carvedilol,"Heart failure, hypertension",6.25–25 mg twice daily,,,,Contraindicated
Dilzem,Incepta ,Diltiazem,"Hypertension, angina",120–360 mg/day in divided doses,,,,Use with caution
Encorate,Incepta ,Enalapril,"Hypertension, heart failure",5–20 mg once or twice daily,,,,Avoid during pregnancy
Losart,Incepta ,Losartan Potassium,Hypertension,50–100 mg once daily,,,,Not safe in pregnancy
Losart Plus,Incepta ,Losartan + Hydrochlorothiazide,Hypertension,1 tablet daily,,,,Avoid during pregnancy
Nebita,Incepta ,Nebivolol,"Hypertension, heart failure",5–10 mg once daily,,,,Avoid unless essential
Ramira,Incepta ,Ramipril,"Hypertension, heart failure",2.5–10 mg/day,,,,Contraindicated
Tridil,Incepta ,Isosorbide dinitrate,Angina pectoris,5–40 mg 2-3 times daily,,,,Use with caution
Trimet,Incepta ,Trimetazidine,Angina pectoris,35 mg twice daily,,,,Not recommended
Clopid,Incepta ,Clopidogrel,Stroke/MI prevention,75 mg once daily,,,,Use only if necessary
Dilpress,Incepta ,Lercanidipine,Hypertension,10–20 mg once daily,,,,Avoid if possible
Amcard,ACI ,Amlodipine,"Hypertension, angina",5–10 mg once daily,,,,Use only if clearly needed
Amcard Plus,ACI ,Amlodipine + Atenolol,Hypertension,1 tablet once daily,,,,Avoid during pregnancy
Telmipres,ACI ,Telmisartan,Hypertension,20–80 mg once daily,,,,Contraindicated
Telmipres Plus,ACI ,Telmisartan + Hydrochlorothiazide,Hypertension,1 tablet once daily,,,,Avoid during pregnancy
Lospes,ACI ,Losartan Potassium,Hypertension,50–100 mg once daily,,,,Avoid in pregnancy
Lospes Plus,ACI ,Losartan + Hydrochlorothiazide,Hypertension,1 tablet once daily,,,,Not safe
Bison,ACI ,Bisoprolol,"Hypertension, heart failure",5–10 mg once daily,,,,Avoid unless essential
Nebil,ACI ,Nebivolol,Hypertension,5–10 mg once daily,,,,Avoid in pregnancy
Ramipres,ACI ,Ramipril,"Hypertension, heart failure",2.5–10 mg/day,,,,Contraindicated
Carvipress,ACI ,Carvedilol,"Hypertension, heart failure",6.25–25 mg twice daily,,,,Avoid in pregnancy
Cardopril,ACI ,Captopril,"Hypertension, heart failure",25–150 mg/day in 2–3 doses,,,,Not recommended
Enapril,ACI ,Enalapril,"Hypertension, heart failure",5–20 mg/day,,,,Contraindicated
Clopivas,ACI ,Clopidogrel,"Myocardial infarction, stroke prevention",75 mg once daily,,,,Use only if necessary
Tildil,ACI ,Diltiazem,"Hypertension, angina",120–360 mg/day,,,,Use with caution
Trimet,ACI ,Trimetazidine,Angina pectoris,35 mg twice daily,,,,Not recommended
Amlo,Opsonin ,Amlodipine,"Hypertension, angina",5–10 mg once daily,,,,Use only if clearly needed
Amlo Plus,Opsonin ,Amlodipine + Atenolol,Hypertension,1 tablet daily,,,,Avoid during pregnancy
Telor,Opsonin ,Telmisartan,Hypertension,20–80 mg once daily,,,,Contraindicated
Telor Plus,Opsonin ,Telmisartan + Hydrochlorothiazide,Hypertension,1 tablet daily,,,,Avoid during pregnancy
Losar,Opsonin ,Losartan Potassium,Hypertension,50–100 mg once daily,,,,Not safe in pregnancy
Losar Plus,Opsonin ,Losartan + Hydrochlorothiazide,Hypertension,1 tablet daily,,,,Avoid in pregnancy
Bisoton,Opsonin ,Bisoprolol,"Hypertension, heart failure",5–10 mg once daily,,,,Use with caution
Nebiron,Opsonin ,Nebivolol,Hypertension,5–10 mg once daily,,,,Avoid unless necessary
Ramorin,Opsonin ,Ramipril,"Hypertension, heart failure",2.5–10 mg once or twice daily,,,,Contraindicated
Cardilol,Opsonin ,Carvedilol,"Hypertension, heart failure",6.25–25 mg twice daily,,,,Avoid in pregnancy
Captopin,Opsonin ,Captopril,"Hypertension, heart failure",25–150 mg/day,,,,Not recommended
Enalorin,Opsonin ,Enalapril,"Hypertension, heart failure",5–20 mg/day,,,,Contraindicated
Clopirin,Opsonin ,Clopidogrel,"MI, stroke prevention",75 mg once daily,,,,Use if clearly necessary
Dilcard,Opsonin ,Diltiazem,"Hypertension, angina",120–360 mg/day,,,,Use with caution
Trizid,Opsonin ,Trimetazidine,Angina pectoris,35 mg twice daily,,,,Not recommended
Amloren,Renata,Amlodipine,"Hypertension, angina",5–10 mg once daily,,,,Use only if clearly needed
Amloren Plus,Renata,Amlodipine + Atenolol,Hypertension,1 tablet once daily,,,,Avoid during pregnancy
Telsar,Renata,Telmisartan,Hypertension,20–80 mg once daily,,,,Contraindicated
Telsar Plus,Renata,Telmisartan + Hydrochlorothiazide,Hypertension,1 tablet once daily,,,,Not safe in pregnancy
Losaril,Renata,Losartan Potassium,Hypertension,50–100 mg once daily,,,,Avoid in pregnancy
Losaril Plus,Renata,Losartan + Hydrochlorothiazide,Hypertension,1 tablet once daily,,,,Contraindicated
Bisorin,Renata,Bisoprolol,"Hypertension, heart failure",5–10 mg once daily,,,,Use with caution
Nebiren,Renata,Nebivolol,Hypertension,5–10 mg once daily,,,,Avoid in pregnancy
Ramiren,Renata,Ramipril,"Hypertension, heart failure",2.5–10 mg once or twice daily,,,,Contraindicated
Carvidon,Renata,Carvedilol,"Hypertension, heart failure",6.25–25 mg twice daily,,,,Avoid in pregnancy
Capron,Renata,Captopril,"Hypertension, heart failure",25–150 mg/day,,,,Not recommended
Enloren,Renata,Enalapril,"Hypertension, heart failure",5–20 mg/day,,,,Contraindicated
Clopirena,Renata,Clopidogrel,"MI, stroke prevention",75 mg once daily,,,,Use only if clearly necessary
Dilren,Renata,Diltiazem,"Hypertension, angina",120–360 mg/day,,,,Use with caution
Triziren,Renata,Trimetazidine,Angina pectoris,35 mg twice daily,,,,Not recommended
Amlopres,Healthcare ,Amlodipine,"Hypertension, angina",5–10 mg once daily,,,,Use only if clearly needed
Amlopres Plus,Healthcare ,Amlodipine + Atenolol,Hypertension,1 tablet once daily,,,,Avoid during pregnancy
Telprex,Healthcare ,Telmisartan,Hypertension,20–80 mg once daily,,,,Contraindicated
Telprex Plus,Healthcare ,Telmisartan + Hydrochlorothiazide,Hypertension,1 tablet once daily,,,,Avoid in pregnancy
Losate,Healthcare ,Losartan Potassium,Hypertension,50–100 mg once daily,,,,Avoid in pregnancy
Losate Plus,Healthcare ,Losartan + Hydrochlorothiazide,Hypertension,1 tablet once daily,,,,Not safe
Bisloc,Healthcare ,Bisoprolol,"Hypertension, heart failure",5–10 mg once daily,,,,Use with caution
Nebicard,Healthcare ,Nebivolol,Hypertension,5–10 mg once daily,,,,Avoid unless essential
Ramicap,Healthcare ,Ramipril,"Hypertension, heart failure",2.5–10 mg once or twice daily,,,,Contraindicated
Carvocard,Healthcare ,Carvedilol,"Hypertension, heart failure",6.25–25 mg twice daily,,,,Avoid during pregnancy
Capoten,Healthcare ,Captopril,"Hypertension, heart failure",25–150 mg/day,,,,Not recommended
Enalopres,Healthcare ,Enalapril,"Hypertension, heart failure",5–20 mg/day,,,,Contraindicated
Clopicare,Healthcare ,Clopidogrel,"MI, stroke prevention",75 mg once daily,,,,Use if clearly necessary
Dilcare,Healthcare ,Diltiazem,"Hypertension, angina",120–360 mg/day,,,,Use with caution
Trimex,Healthcare ,Trimetazidine,Angina pectoris,35 mg twice daily,,,,Not recommended
Amlosart,SK+F,Amlodipine + Losartan,Hypertension,1 tablet once daily,,,,Avoid during pregnancy
Amlovas,SK+F,Amlodipine,"Hypertension, angina",5–10 mg once daily,,,,Use if clearly needed
Atelvas,SK+F,Atenolol,"Hypertension, angina",50–100 mg once daily,,,,Avoid unless necessary
Bivas,SK+F,Bisoprolol,"Hypertension, heart failure",5–10 mg once daily,,,,Use with caution
Cardilor,SK+F,Carvedilol,"Hypertension, heart failure",6.25–25 mg twice daily,,,,Not recommended
Cardopril,SK+F,Captopril,"Hypertension, heart failure",25–150 mg/day,,,,Contraindicated
Dilzem,SK+F,Diltiazem,"Hypertension, angina",120–360 mg/day,,,,Use only if clearly needed
Envas,SK+F,Enalapril,"Hypertension, heart failure",5–20 mg/day,,,,Avoid during pregnancy
Nebivas,SK+F,Nebivolol,Hypertension,5–10 mg once daily,,,,Use with caution
Ramivas,SK+F,Ramipril,"Hypertension, heart failure",2.5–10 mg/day,,,,Contraindicated
Telvas,SK+F,Telmisartan,Hypertension,20–80 mg once daily,,,,Not recommended
Telvas Plus,SK+F,Telmisartan + Hydrochlorothiazide,Hypertension,1 tablet once daily,,,,Avoid in pregnancy
Losavas,SK+F,Losartan,Hypertension,50–100 mg/day,,,,Avoid in pregnancy
Losavas Plus,SK+F,Losartan + Hydrochlorothiazide,Hypertension,1 tablet once daily,,,,Not recommended
Clopivas,SK+F,Clopidogrel,"MI, stroke prevention",75 mg once daily,,,,Use only if necessary
Amlopres,ACME ,Amlodipine,"Hypertension, angina",5–10 mg once daily,,,,Use if clearly needed
Amlosart-H,ACME ,Amlodipine + Losartan + Hydrochlorothiazide,Hypertension,1 tablet daily,,,,Avoid in pregnancy
Losacor,ACME ,Losartan,Hypertension,50–100 mg/day,,,,Avoid in pregnancy
Losacor Plus,ACME ,Losartan + Hydrochlorothiazide,Hypertension,1 tablet daily,,,,Not recommended
Nebipres,ACME ,Nebivolol,Hypertension,5–10 mg once daily,,,,Use with caution
Bisoprex,ACME ,Bisoprolol,"Hypertension, heart failure",5–10 mg once daily,,,,Use only if needed
Telcor,ACME ,Telmisartan,Hypertension,20–80 mg once daily,,,,Contraindicated
